match_index,Pinnacle_Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2
2799,7.21,0,1.0659222066402436,0.05236115623265505,0.9690201878547668,2019-01-08,Statham R.,Chung H.
2671,1.45,1,1.057866657972336,0.7295632123947143,0.24233412891626357,2018-12-30,Kokkinakis T.,Garin C.
2724,4.32,0,1.0562874530553819,0.09623748436570168,0.8587702870368957,2019-01-02,Uchiyama Y.,Edmund K.
2732,2.02,0,1.051876324415207,0.42239900430043537,0.5876404047012329,2019-01-02,Cecchinato M.,Pella G.
2795,1.62,1,1.0497673416137694,0.6480045318603516,0.37798844277858734,2019-01-08,Humbert U.,Cuevas P.
2747,2.45,0,1.0478158199787142,0.3802318349480629,0.663174569606781,2019-01-04,Tsonga J.W.,de Minaur A.
2643,1.7,1,1.0427001035213468,0.6133530020713807,0.17918226793408393,2018-12-29,Quinzi G.,Kumar Mukund S.
2726,1.37,1,1.0420535291433333,0.7606230139732361,0.11916147395968438,2019-01-02,Wawrinka S.,Jarry N.
2798,2.58,0,1.0365355692803857,0.31531381979584694,0.6864473968744278,2019-01-08,Mayer L.,Johnson S.
2766,1.18,1,1.0354433014392852,0.8774943232536316,0.08169654160737991,2019-01-05,Nishikori K.,Chardy J.
2753,1.07,1,1.0353768478631973,0.9676419138908386,0.039154480397701266,2019-01-05,Fabbiano T.,Tearney F.
2793,1.3,1,1.0302114367485047,0.7924703359603882,0.4524757951498032,2019-01-07,de Minaur A.,Lajovic D.
2719,2.08,0,1.0272469880680244,0.45752478142579395,0.5869982788960139,2019-01-02,Munar J.,Bolelli S.
2769,1.14,1,1.0234030730724335,0.8977219939231873,0.15451603382825851,2019-01-06,Humbert U.,Marcora R.
2663,1.75,0,1.02077761054039,0.07866393029689789,0.500381181637446,2018-12-30,Bolelli S.,Ofner S.
2749,1.47,1,1.019970319032669,0.6938573598861695,0.31003415808081625,2019-01-04,Berdych T.,Cecchinato M.
2814,2.42,0,1.0124860264062883,0.23607574999332429,0.6408139407634735,2019-01-09,Nishioka Y.,Rublev A.
2725,1.17,1,1.0118709812164304,0.8648469924926758,0.1167542040348053,2019-01-02,Nishikori K.,Kudla D.
2771,1.64,0,1.0102271676063537,0.21054965630173683,0.45711636543273926,2019-01-06,Klahn B.,Cuevas P.
2709,3.88,0,1.0094752650260925,0.1273487962782383,0.7948624134063721,2019-01-01,Herbert P.H.,Thiem D.
2676,2.38,0,1.0089183307886125,0.16040867418050767,0.6345398306846619,2018-12-31,Darcis S.,Carballes Baena R.
2738,1.3,1,1.0082507932186127,0.7755775332450867,0.1567805990576744,2019-01-03,Anderson K.,Munar J.
